fen,move,eval_before,eval_after,delta,label
r2q1rk1/p1pn1pp1/Pp5p/8/2NPn3/4P3/5PPP/R1BQK2R w KQ - 1 16,Bb2,53,19,-34,1
r2q1rk1/p1pn1pp1/Pp5p/8/2NPn3/4P3/1B3PPP/R2QK2R b KQ - 2 16,Ndf6,30,66,36,1
r2q1rk1/p1p2pp1/Pp3n1p/8/2NPn3/4P3/1B3PPP/R2QK2R w KQ - 3 17,Ne5,75,53,-22,1
r2q1rk1/p1p2pp1/Pp3n1p/4N3/3Pn3/4P3/1B3PPP/R2QK2R b KQ - 4 17,Qd5,64,51,-13,1
r4rk1/p1p2pp1/Pp3n1p/3qN3/3Pn3/4P3/1B3PPP/R2QK2R w KQ - 5 18,O-O,63,40,-23,1
r4rk1/p1p2pp1/Pp3n1p/3qN3/3Pn3/4P3/1B3PPP/R2Q1RK1 b - - 6 18,Rac8,33,185,152,1
2r2rk1/p1p2pp1/Pp3n1p/3qN3/3Pn3/4P3/1B3PPP/R2Q1RK1 w - - 7 19,f3,215,245,30,1
2r2rk1/p1p2pp1/Pp3n1p/3qN3/3Pn3/4PP2/1B4PP/R2Q1RK1 b - - 0 19,Nd6,240,218,-22,1
2r2rk1/p1p2pp1/Pp1n1n1p/3qN3/3P4/4PP2/1B4PP/R2Q1RK1 w - - 1 20,Ra3,214,66,-148,0
2r2rk1/p1p2pp1/Pp1n1n1p/3qN3/3P4/R3PP2/1B4PP/3Q1RK1 b - - 2 20,Nc4,66,80,14,1
2r2rk1/p1p2pp1/Pp3n1p/3qN3/2nP4/R3PP2/1B4PP/3Q1RK1 w - - 3 21,e4,110,-161,-271,0
2r2rk1/p1p2pp1/Pp3n1p/3qN3/2nPP3/R4P2/1B4PP/3Q1RK1 b - - 0 21,Qb5,-62,113,175,1
2r2rk1/p1p2pp1/Pp3n1p/1q2N3/2nPP3/R4P2/1B4PP/3Q1RK1 w - - 1 22,Rb3,112,69,-43,1
2r2rk1/p1p2pp1/Pp3n1p/1q2N3/2nPP3/1R3P2/1B4PP/3Q1RK1 b - - 2 22,Qxa6,92,125,33,1
2r2rk1/p1p2pp1/qp3n1p/4N3/2nPP3/1R3P2/1B4PP/3Q1RK1 w - - 0 23,Nxc4,119,73,-46,1
2r2rk1/p1p2pp1/qp3n1p/8/2NPP3/1R3P2/1B4PP/3Q1RK1 b - - 0 23,Qxc4,49,55,6,1
2r2rk1/p1p2pp1/1p3n1p/8/2qPP3/1R3P2/1B4PP/3Q1RK1 w - - 0 24,Rc3,64,12,-52,1
2r2rk1/p1p2pp1/1p3n1p/8/2qPP3/2R2P2/1B4PP/3Q1RK1 b - - 1 24,Qb4,43,24,-19,1
2r2rk1/p1p2pp1/1p3n1p/8/1q1PP3/2R2P2/1B4PP/3Q1RK1 w - - 2 25,Qc2,23,-190,-213,0
2r2rk1/p1p2pp1/1p3n1p/8/1q1PP3/2R2P2/1BQ3PP/5RK1 b - - 3 25,c6,-145,101,246,1
2r2rk1/p4pp1/1pp2n1p/8/1q1PP3/2R2P2/1BQ3PP/5RK1 w - - 0 26,Rxc6,110,-453,-563,0
2r2rk1/p4pp1/1pR2n1p/8/1q1PP3/5P2/1BQ3PP/5RK1 b - - 0 26,Rxc6,-450,-458,-8,1
5rk1/p4pp1/1pr2n1p/8/1q1PP3/5P2/1BQ3PP/5RK1 w - - 0 27,Qxc6,-432,-428,4,1
5rk1/p4pp1/1pQ2n1p/8/1q1PP3/5P2/1B4PP/5RK1 b - - 0 27,Qxb2,-463,-418,45,1
5rk1/p4pp1/1pQ2n1p/8/3PP3/5P2/1q4PP/5RK1 w - - 0 28,Qb7,-455,-501,-46,1
5rk1/pQ3pp1/1p3n1p/8/3PP3/5P2/1q4PP/5RK1 b - - 1 28,a5,-525,-479,46,1
5rk1/1Q3pp1/1p3n1p/p7/3PP3/5P2/1q4PP/5RK1 w - - 0 29,d5,-539,-565,-26,1
5rk1/1Q3pp1/1p3n1p/p2P4/4P3/5P2/1q4PP/5RK1 b - - 0 29,Qd4+,-538,-488,50,1
5rk1/1Q3pp1/1p3n1p/p2P4/3qP3/5P2/6PP/5RK1 w - - 1 30,Kh1,-505,-500,5,1
5rk1/1Q3pp1/1p3n1p/p2P4/3qP3/5P2/6PP/5R1K b - - 2 30,Qd3,-485,-479,6,1
5rk1/1Q3pp1/1p3n1p/p2P4/4P3/3q1P2/6PP/5R1K w - - 3 31,Rc1,-453,-499,-46,1
5rk1/1Q3pp1/1p3n1p/p2P4/4P3/3q1P2/6PP/2R4K b - - 4 31,b5,-484,-417,67,1
5rk1/1Q3pp1/5n1p/pp1P4/4P3/3q1P2/6PP/2R4K w - - 0 32,h3,-381,-451,-70,1
5rk1/1Q3pp1/5n1p/pp1P4/4P3/3q1P1P/6P1/2R4K b - - 0 32,b4,-371,-419,-48,1
5rk1/1Q3pp1/5n1p/p2P4/1p2P3/3q1P1P/6P1/2R4K w - - 0 33,Qa7,-428,-511,-83,1
5rk1/Q4pp1/5n1p/p2P4/1p2P3/3q1P1P/6P1/2R4K b - - 1 33,b3,-522,-501,21,1
5rk1/Q4pp1/5n1p/p2P4/4P3/1p1q1P1P/6P1/2R4K w - - 0 34,Qxa5,-499,-629,-130,0
5rk1/5pp1/5n1p/Q2P4/4P3/1p1q1P1P/6P1/2R4K b - - 0 34,b2,-629,-640,-11,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,31,26,-5,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,d5,33,64,31,1
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,exd5,70,61,-9,1
rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,Qxd5,68,84,16,1
rnb1kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,Nc3,71,73,2,1
rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,Qe5+,74,104,30,1
rnb1kbnr/ppp1pppp/8/4q3/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 4,Be2,98,102,4,1
rnb1kbnr/ppp1pppp/8/4q3/8/2N5/PPPPBPPP/R1BQK1NR b KQkq - 3 4,Bg4,108,79,-29,1
rn2kbnr/ppp1pppp/8/4q3/6b1/2N5/PPPPBPPP/R1BQK1NR w KQkq - 4 5,f3,77,69,-8,1
rn2kbnr/ppp1pppp/8/4q3/6b1/2N2P2/PPPPB1PP/R1BQK1NR b KQkq - 0 5,Bh5,62,146,84,1
rn2kbnr/ppp1pppp/8/4q2b/8/2N2P2/PPPPB1PP/R1BQK1NR w KQkq - 1 6,d4,136,135,-1,1
rn2kbnr/ppp1pppp/8/4q2b/3P4/2N2P2/PPP1B1PP/R1BQK1NR b KQkq - 0 6,Qe6,133,212,79,1
rn2kbnr/ppp1pppp/4q3/7b/3P4/2N2P2/PPP1B1PP/R1BQK1NR w KQkq - 1 7,h4,231,171,-60,1
rn2kbnr/ppp1pppp/4q3/7b/3P3P/2N2P2/PPP1B1P1/R1BQK1NR b KQkq - 0 7,Bg6,183,426,243,1
rn2kbnr/ppp1pppp/4q1b1/8/3P3P/2N2P2/PPP1B1P1/R1BQK1NR w KQkq - 1 8,g4,430,169,-261,0
rn2kbnr/ppp1pppp/4q1b1/8/3P2PP/2N2P2/PPP1B3/R1BQK1NR b KQkq - 0 8,h5,170,175,5,1
rn2kbnr/ppp1ppp1/4q1b1/7p/3P2PP/2N2P2/PPP1B3/R1BQK1NR w KQkq - 0 9,d5,169,75,-94,1
rn2kbnr/ppp1ppp1/4q1b1/3P3p/6PP/2N2P2/PPP1B3/R1BQK1NR b KQkq - 0 9,Qe5,60,218,158,1
rn2kbnr/ppp1ppp1/6b1/3Pq2p/6PP/2N2P2/PPP1B3/R1BQK1NR w KQkq - 1 10,f4,173,194,21,1
rn2kbnr/ppp1ppp1/6b1/3Pq2p/5PPP/2N5/PPP1B3/R1BQK1NR b KQkq - 0 10,Qd6,176,186,10,1
rn2kbnr/ppp1ppp1/3q2b1/3P3p/5PPP/2N5/PPP1B3/R1BQK1NR w KQkq - 1 11,f5,165,145,-20,1
rn2kbnr/ppp1ppp1/3q2b1/3P1P1p/6PP/2N5/PPP1B3/R1BQK1NR b KQkq - 0 11,Qg3+,119,263,144,1
rn2kbnr/ppp1ppp1/6b1/3P1P1p/6PP/2N3q1/PPP1B3/R1BQK1NR w KQkq - 1 12,Kd2,270,-5,-275,0
rn2kbnr/ppp1ppp1/6b1/3P1P1p/6PP/2N3q1/PPPKB3/R1BQ2NR b kq - 2 12,Qf4+,1,276,275,1
rn2kbnr/ppp1ppp1/6b1/3P1P1p/5qPP/2N5/PPPKB3/R1BQ2NR w kq - 3 13,Ke1,293,337,44,1
rn2kbnr/ppp1ppp1/6b1/3P1P1p/5qPP/2N5/PPP1B3/R1BQK1NR b kq - 4 13,Qg3+,258,303,45,1
rn2kbnr/ppp1ppp1/6b1/3P1P1p/6PP/2N3q1/PPP1B3/R1BQK1NR w kq - 5 14,Kd2,346,-9,-355,0
rn2kbnr/ppp1ppp1/6b1/3P1P1p/6PP/2N3q1/PPPKB3/R1BQ2NR b kq - 6 14,Bh7,-22,-4,18,1
rn2kbnr/ppp1pppb/8/3P1P1p/6PP/2N3q1/PPPKB3/R1BQ2NR w kq - 7 15,Ne4,3,-233,-236,0
rn2kbnr/ppp1pppb/8/3P1P1p/4N1PP/6q1/PPPKB3/R1BQ2NR b kq - 8 15,Qf4+,-259,-178,81,1
rn2kbnr/ppp1pppb/8/3P1P1p/4NqPP/8/PPPKB3/R1BQ2NR w kq - 9 16,Kd3,-154,-169,-15,1
rn2kbnr/ppp1pppb/8/3P1P1p/4NqPP/3K4/PPP1B3/R1BQ2NR b kq - 10 16,Nd7,-166,535,701,1
r3kbnr/pppnpppb/8/3P1P1p/4NqPP/3K4/PPP1B3/R1BQ2NR w kq - 11 17,Bxf4,498,483,-15,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,Nf3,29,27,-2,1
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,d5,19,16,-3,1
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,d4,17,12,-5,1
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,Nc6,7,51,44,1
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3,c3,44,0,-44,1
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,Nf6,10,22,12,1
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq - 1 4,Bg5,23,-38,-61,1
r1bqkb1r/ppp1pppp/2n2n2/3p2B1/3P4/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 2 4,e6,-11,37,48,1
r1bqkb1r/ppp2ppp/2n1pn2/3p2B1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 0 5,e3,40,22,-18,1
r1bqkb1r/ppp2ppp/2n1pn2/3p2B1/3P4/2P1PN2/PP3PPP/RN1QKB1R b KQkq - 0 5,Be7,21,38,17,1
r1bqk2r/ppp1bppp/2n1pn2/3p2B1/3P4/2P1PN2/PP3PPP/RN1QKB1R w KQkq - 1 6,Bb5,39,44,5,1
r1bqk2r/ppp1bppp/2n1pn2/1B1p2B1/3P4/2P1PN2/PP3PPP/RN1QK2R b KQkq - 2 6,Bd7,45,52,7,1
r2qk2r/pppbbppp/2n1pn2/1B1p2B1/3P4/2P1PN2/PP3PPP/RN1QK2R w KQkq - 3 7,O-O,55,42,-13,1
r2qk2r/pppbbppp/2n1pn2/1B1p2B1/3P4/2P1PN2/PP3PPP/RN1Q1RK1 b kq - 4 7,a6,45,47,2,1
r2qk2r/1ppbbppp/p1n1pn2/1B1p2B1/3P4/2P1PN2/PP3PPP/RN1Q1RK1 w kq - 0 8,Ba4,47,45,-2,1
r2qk2r/1ppbbppp/p1n1pn2/3p2B1/B2P4/2P1PN2/PP3PPP/RN1Q1RK1 b kq - 1 8,h6,46,48,2,1
r2qk2r/1ppbbpp1/p1n1pn1p/3p2B1/B2P4/2P1PN2/PP3PPP/RN1Q1RK1 w kq - 0 9,Bh4,54,-2,-56,1
r2qk2r/1ppbbpp1/p1n1pn1p/3p4/B2P3B/2P1PN2/PP3PPP/RN1Q1RK1 b kq - 1 9,g5,-14,7,21,1
r2qk2r/1ppbbp2/p1n1pn1p/3p2p1/B2P3B/2P1PN2/PP3PPP/RN1Q1RK1 w kq - 0 10,Bg3,5,-10,-15,1
r2qk2r/1ppbbp2/p1n1pn1p/3p2p1/B2P4/2P1PNB1/PP3PPP/RN1Q1RK1 b kq - 1 10,Ne4,-12,-3,9,1
r2qk2r/1ppbbp2/p1n1p2p/3p2p1/B2Pn3/2P1PNB1/PP3PPP/RN1Q1RK1 w kq - 2 11,Nbd2,8,-31,-39,1
r2qk2r/1ppbbp2/p1n1p2p/3p2p1/B2Pn3/2P1PNB1/PP1N1PPP/R2Q1RK1 b kq - 3 11,f5,-44,148,192,1
r2qk2r/1ppbb3/p1n1p2p/3p1pp1/B2Pn3/2P1PNB1/PP1N1PPP/R2Q1RK1 w kq - 0 12,h3,135,-62,-197,0
r2qk2r/1ppbb3/p1n1p2p/3p1pp1/B2Pn3/2P1PNBP/PP1N1PP1/R2Q1RK1 b kq - 0 12,h5,-68,139,207,1
r2qk2r/1ppbb3/p1n1p3/3p1ppp/B2Pn3/2P1PNBP/PP1N1PP1/R2Q1RK1 w kq - 0 13,Ne5,79,-71,-150,0
r2qk2r/1ppbb3/p1n1p3/3pNppp/B2Pn3/2P1P1BP/PP1N1PP1/R2Q1RK1 b kq - 1 13,g4,-43,159,202,1
r2qk2r/1ppbb3/p1n1p3/3pNp1p/B2Pn1p1/2P1P1BP/PP1N1PP1/R2Q1RK1 w kq - 0 14,Nxc6,162,17,-145,0
r2qk2r/1ppbb3/p1N1p3/3p1p1p/B2Pn1p1/2P1P1BP/PP1N1PP1/R2Q1RK1 b kq - 0 14,Bxc6,39,38,-1,1
r2qk2r/1pp1b3/p1b1p3/3p1p1p/B2Pn1p1/2P1P1BP/PP1N1PP1/R2Q1RK1 w kq - 0 15,Bxc6+,39,18,-21,1
r2qk2r/1pp1b3/p1B1p3/3p1p1p/3Pn1p1/2P1P1BP/PP1N1PP1/R2Q1RK1 b kq - 0 15,bxc6,27,0,-27,1
r2qk2r/2p1b3/p1p1p3/3p1p1p/3Pn1p1/2P1P1BP/PP1N1PP1/R2Q1RK1 w kq - 0 16,Nxe4,0,0,0,1
r2qk2r/2p1b3/p1p1p3/3p1p1p/3PN1p1/2P1P1BP/PP3PP1/R2Q1RK1 b kq - 0 16,dxe4,0,86,86,1
r2qk2r/2p1b3/p1p1p3/5p1p/3Pp1p1/2P1P1BP/PP3PP1/R2Q1RK1 w kq - 0 17,Be5,104,23,-81,1
r2qk2r/2p1b3/p1p1p3/4Bp1p/3Pp1p1/2P1P2P/PP3PP1/R2Q1RK1 b kq - 1 17,Bf6,21,151,130,1
r2qk2r/2p5/p1p1pb2/4Bp1p/3Pp1p1/2P1P2P/PP3PP1/R2Q1RK1 w kq - 2 18,Qa4,173,167,-6,1
r2qk2r/2p5/p1p1pb2/4Bp1p/Q2Pp1p1/2P1P2P/PP3PP1/R4RK1 b kq - 3 18,Bxe5,171,177,6,1
r2qk2r/2p5/p1p1p3/4bp1p/Q2Pp1p1/2P1P2P/PP3PP1/R4RK1 w kq - 0 19,Qxc6+,136,151,15,1
r2qk2r/2p5/p1Q1p3/4bp1p/3Pp1p1/2P1P2P/PP3PP1/R4RK1 b kq - 0 19,Ke7,147,132,-15,1
r2q3r/2p1k3/p1Q1p3/4bp1p/3Pp1p1/2P1P2P/PP3PP1/R4RK1 w - - 1 20,dxe5,143,137,-6,1
r2q3r/2p1k3/p1Q1p3/4Pp1p/4p1p1/2P1P2P/PP3PP1/R4RK1 b - - 0 20,Qd7,180,173,-7,1
r6r/2pqk3/p1Q1p3/4Pp1p/4p1p1/2P1P2P/PP3PP1/R4RK1 w - - 1 21,Qc5+,179,182,3,1
r6r/2pqk3/p3p3/2Q1Pp1p/4p1p1/2P1P2P/PP3PP1/R4RK1 b - - 2 21,Kf7,164,194,30,1
r6r/2pq1k2/p3p3/2Q1Pp1p/4p1p1/2P1P2P/PP3PP1/R4RK1 w - - 3 22,Rfd1,212,197,-15,1
r6r/2pq1k2/p3p3/2Q1Pp1p/4p1p1/2P1P2P/PP3PP1/R2R2K1 b - - 4 22,Qe7,201,176,-25,1
r6r/2p1qk2/p3p3/2Q1Pp1p/4p1p1/2P1P2P/PP3PP1/R2R2K1 w - - 5 23,Qc6,194,200,6,1
r6r/2p1qk2/p1Q1p3/4Pp1p/4p1p1/2P1P2P/PP3PP1/R2R2K1 b - - 6 23,Rad8,178,213,35,1
3r3r/2p1qk2/p1Q1p3/4Pp1p/4p1p1/2P1P2P/PP3PP1/R2R2K1 w - - 7 24,Qxa6,141,-69,-210,0
3r3r/2p1qk2/Q3p3/4Pp1p/4p1p1/2P1P2P/PP3PP1/R2R2K1 b - - 0 24,h4,-47,239,286,1
3r3r/2p1qk2/Q3p3/4Pp2/4p1pp/2P1P2P/PP3PP1/R2R2K1 w - - 0 25,hxg4,224,259,35,1
3r3r/2p1qk2/Q3p3/4Pp2/4p1Pp/2P1P3/PP3PP1/R2R2K1 b - - 0 25,fxg4,260,289,29,1
3r3r/2p1qk2/Q3p3/4P3/4p1pp/2P1P3/PP3PP1/R2R2K1 w - - 0 26,Qe2,284,184,-100,1
3r3r/2p1qk2/4p3/4P3/4p1pp/2P1P3/PP2QPP1/R2R2K1 b - - 1 26,Rhg8,183,270,87,1
3r2r1/2p1qk2/4p3/4P3/4p1pp/2P1P3/PP2QPP1/R2R2K1 w - - 2 27,Rxd8,300,280,-20,1
3R2r1/2p1qk2/4p3/4P3/4p1pp/2P1P3/PP2QPP1/R5K1 b - - 0 27,Qxd8,291,300,9,1
3q2r1/2p2k2/4p3/4P3/4p1pp/2P1P3/PP2QPP1/R5K1 w - - 0 28,Rd1,265,183,-82,1
3q2r1/2p2k2/4p3/4P3/4p1pp/2P1P3/PP2QPP1/3R2K1 b - - 1 28,Qe7,185,387,202,1
6r1/2p1qk2/4p3/4P3/4p1pp/2P1P3/PP2QPP1/3R2K1 w - - 2 29,a4,360,218,-142,0
6r1/2p1qk2/4p3/4P3/P3p1pp/2P1P3/1P2QPP1/3R2K1 b - - 0 29,h3,249,339,90,1
6r1/2p1qk2/4p3/4P3/P3p1p1/2P1P2p/1P2QPP1/3R2K1 w - - 0 30,g3,348,217,-131,0
6r1/2p1qk2/4p3/4P3/P3p1p1/2P1P1Pp/1P2QP2/3R2K1 b - - 0 30,Qg5,230,204,-26,1
6r1/2p2k2/4p3/4P1q1/P3p1p1/2P1P1Pp/1P2QP2/3R2K1 w - - 1 31,Rd7+,216,183,-33,1
6r1/2pR1k2/4p3/4P1q1/P3p1p1/2P1P1Pp/1P2QP2/6K1 b - - 2 31,Kg6,166,179,13,1
6r1/2pR4/4p1k1/4P1q1/P3p1p1/2P1P1Pp/1P2QP2/6K1 w - - 3 32,Rxc7,191,164,-27,1
6r1/2R5/4p1k1/4P1q1/P3p1p1/2P1P1Pp/1P2QP2/6K1 b - - 0 32,Qf5,219,210,-9,1
6r1/2R5/4p1k1/4Pq2/P3p1p1/2P1P1Pp/1P2QP2/6K1 w - - 1 33,f4,121,-410,-531,0
6r1/2R5/4p1k1/4Pq2/P3pPp1/2P1P1Pp/1P2Q3/6K1 b - f3 0 33,gxf3,-385,-440,-55,1
6r1/2R5/4p1k1/4Pq2/P3p3/2P1PpPp/1P2Q3/6K1 w - - 0 34,Qf2,-510,-565,-55,1
6r1/2R5/4p1k1/4Pq2/P3p3/2P1PpPp/1P3Q2/6K1 b - - 1 34,Kh5,-544,12,556,1
6r1/2R5/4p3/4Pq1k/P3p3/2P1PpPp/1P3Q2/6K1 w - - 2 35,Kh2,24,0,-24,1
6r1/2R5/4p3/4Pq1k/P3p3/2P1PpPp/1P3Q1K/8 b - - 3 35,Rg6,3,157,154,1
8/2R5/4p1r1/4Pq1k/P3p3/2P1PpPp/1P3Q1K/8 w - - 4 36,Rh7+,175,149,-26,1
8/7R/4p1r1/4Pq1k/P3p3/2P1PpPp/1P3Q1K/8 b - - 5 36,Rh6,133,168,35,1
8/7R/4p2r/4Pq1k/P3p3/2P1PpPp/1P3Q1K/8 w - - 6 37,Rxh6+,131,13,-118,0
8/8/4p2R/4Pq1k/P3p3/2P1PpPp/1P3Q1K/8 b - - 0 37,Kxh6,118,110,-8,1
8/8/4p2k/4Pq2/P3p3/2P1PpPp/1P3Q1K/8 w - - 0 38,b4,74,6,-68,1
8/8/4p2k/4Pq2/PP2p3/2P1PpPp/5Q1K/8 b - - 0 38,Qxe5,4,0,-4,1
8/8/4p2k/4q3/PP2p3/2P1PpPp/5Q1K/8 w - - 0 39,a5,0,-470,-470,0
8/8/4p2k/P3q3/1P2p3/2P1PpPp/5Q1K/8 b - - 0 39,Kg5,-540,21,561,1
8/8/4p3/P3q1k1/1P2p3/2P1PpPp/5Q1K/8 w - - 1 40,c4,0,0,0,1
8/8/4p3/P3q1k1/1PP1p3/4PpPp/5Q1K/8 b - - 0 40,Kg4,-1,183,184,1
8/8/4p3/P3q3/1PP1p1k1/4PpPp/5Q1K/8 w - - 1 41,b5,58,51,-7,1
8/8/4p3/PP2q3/2P1p1k1/4PpPp/5Q1K/8 b - - 0 41,Qc3,19,0,-19,1
8/8/4p3/PP6/2P1p1k1/2q1PpPp/5Q1K/8 w - - 1 42,b6,0,0,0,1
8/8/1P2p3/P7/2P1p1k1/2q1PpPp/5Q1K/8 b - - 0 42,Qd3,0,297,297,1
8/8/1P2p3/P7/2P1p1k1/3qPpPp/5Q1K/8 w - - 1 43,c5,398,-9995,-10393,0
8/8/1P2p3/P1P5/4p1k1/3qPpPp/5Q1K/8 b - - 0 43,Qe2,-9995,-9996,-1,1
8/8/1P2p3/P1P5/4p1k1/4PpPp/4qQ1K/8 w - - 1 44,Kg1,-9996,-9997,-1,1
8/8/1P2p3/P1P5/4p1k1/4PpPp/4qQ2/6K1 b - - 2 44,Qd1+,-9997,-9995,2,1
8/8/1P2p3/P1P5/4p1k1/4PpPp/5Q2/3q2K1 w - - 3 45,Kh2,-9995,-9995,0,1
8/8/1P2p3/P1P5/4p1k1/4PpPp/5Q1K/3q4 b - - 4 45,Qe2,-9995,-9996,-1,1
8/8/1P2p3/P1P5/4p1k1/4PpPp/4qQ1K/8 w - - 5 46,Kg1,-9996,-9997,-1,1
8/8/1P2p3/P1P5/4p1k1/4PpPp/4qQ2/6K1 b - - 6 46,Qd1+,-9997,-9995,2,1
8/8/1P2p3/P1P5/4p1k1/4PpPp/5Q2/3q2K1 w - - 7 47,Qf1,-9995,-9997,-2,1
8/8/1P2p3/P1P5/4p1k1/4PpPp/8/3q1QK1 b - - 8 47,h2+,-9997,-9998,-1,1
8/8/1P2p3/P1P5/4p1k1/4PpP1/7p/3q1QK1 w - - 0 48,Kf2,-9998,-9998,0,1
8/8/1P2p3/P1P5/4p1k1/4PpP1/5K1p/3q1Q2 b - - 1 48,Qxf1+,-9998,-9997,1,1
8/8/1P2p3/P1P5/4p1k1/4PpP1/5K1p/5q2 w - - 0 49,Kxf1,-9997,-9997,0,1
8/8/1P2p3/P1P5/4p1k1/4PpP1/7p/5K2 b - - 0 49,h1=Q+,-9997,-9998,-1,1
8/8/1P2p3/P1P5/4p1k1/4PpP1/8/5K1q w - - 0 50,Kf2,-9998,-9998,0,1
8/8/1P2p3/P1P5/4p1k1/4PpP1/5K2/7q b - - 1 50,Qg2+,-9998,-9999,-1,1
8/8/1P2p3/P1P5/4p1k1/4PpP1/5Kq1/8 w - - 2 51,Ke1,-9999,-9999,0,1
8/8/1P2p3/P1P5/4p1k1/4PpP1/6q1/4K3 b - - 3 51,f2+,-9999,-9996,3,1
8/8/1P2p3/P1P5/4p1k1/4P1P1/5pq1/4K3 w - - 0 52,Kd2,-9996,-9996,0,1
8/8/1P2p3/P1P5/4p1k1/4P1P1/3K1pq1/8 b - - 1 52,f1=Q+,-9996,-9997,-1,1
8/8/1P2p3/P1P5/4p1k1/4P1P1/3K2q1/5q2 w - - 0 53,Kc3,-9997,-9997,0,1
8/8/1P2p3/P1P5/4p1k1/2K1P1P1/6q1/5q2 b - - 1 53,Qc1+,-9997,-9998,-1,1
8/8/1P2p3/P1P5/4p1k1/2K1P1P1/6q1/2q5 w - - 2 54,Kd4,-9998,-9998,0,1
8/8/1P2p3/P1P5/3Kp1k1/4P1P1/6q1/2q5 b - - 3 54,Qgd2+,-9998,-9994,4,1
8/8/1P2p3/P1P5/3Kp1k1/4P1P1/3q4/2q5 w - - 4 55,Ke5,-9995,-9995,0,1
8/8/1P2p3/P1P1K3/4p1k1/4P1P1/3q4/2q5 b - - 5 55,Qxe3,-9995,-1054,8941,1
8/8/1P2p3/P1P1K3/4p1k1/4q1P1/8/2q5 w - - 0 56,b7,-1299,-9996,-8697,0
8/1P6/4p3/P1P1K3/4p1k1/4q1P1/8/2q5 b - - 0 56,Qcxc5+,-9996,-9997,-1,1
8/1P6/4p3/P1q1K3/4p1k1/4q1P1/8/8 w - - 0 57,Kf6,-9997,-9998,-1,1
8/1P6/4pK2/P1q5/4p1k1/4q1P1/8/8 b - - 1 57,Qb3,-9998,-9997,1,1
8/1P6/4pK2/P1q5/4p1k1/1q4P1/8/8 w - - 2 58,a6,-9997,-9997,0,1
8/1P6/P3pK2/2q5/4p1k1/1q4P1/8/8 b - - 0 58,Qa5,-9997,-9993,4,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,38,30,-8,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,27,31,4,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,f4,33,-59,-92,1
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,d6,-55,-1,54,1
rnbqkbnr/ppp2ppp/3p4/4p3/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,Nf3,-11,-39,-28,1
rnbqkbnr/ppp2ppp/3p4/4p3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,f6,-36,147,183,1
rnbqkbnr/ppp3pp/3p1p2/4p3/4PP2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 4,d3,133,57,-76,1
rnbqkbnr/ppp3pp/3p1p2/4p3/4PP2/3P1N2/PPP3PP/RNBQKB1R b KQkq - 0 4,Nc6,55,55,0,1
r1bqkbnr/ppp3pp/2np1p2/4p3/4PP2/3P1N2/PPP3PP/RNBQKB1R w KQkq - 1 5,Nc3,61,52,-9,1
r1bqkbnr/ppp3pp/2np1p2/4p3/4PP2/2NP1N2/PPP3PP/R1BQKB1R b KQkq - 2 5,Be6,64,157,93,1
r2qkbnr/ppp3pp/2npbp2/4p3/4PP2/2NP1N2/PPP3PP/R1BQKB1R w KQkq - 3 6,f5,145,93,-52,1
